#	log	exp
0	0	1
1	0	3
2	25	5
3	1	15
4	50	17
5	2	51
6	26	85
7	198	255
8	75	26
9	199	46
10	27	114
11	104	150
12	51	161
13	238	248
14	223	19
15	3	53
16	100	95
17	4	225
18	224	56
19	14	72
20	52	216
21	141	115
22	129	149
23	239	164
24	76	247
25	113	2
26	8	6
27	200	10
28	248	30
29	105	34
30	28	102
31	193	170
32	125	229
33	194	52
34	29	92
35	181	228
36	249	55
37	185	89
38	39	235
39	106	38
40	77	106
41	228	190
42	166	217
43	114	112
44	154	144
45	201	171
46	9	230
47	120	49
48	101	83
49	47	245
50	138	4
51	5	12
52	33	20
53	15	60
54	225	68
55	36	204
56	18	79
57	240	209
58	130	104
59	69	184
60	53	211
61	147	110
62	218	178
63	142	205
64	150	76
65	143	212
66	219	103
67	189	169
68	54	224
69	208	59
70	206	77
71	148	215
72	19	98
73	92	166
74	210	241
75	241	8
76	64	24
77	70	40
78	131	120
79	56	136
80	102	131
81	221	158
82	253	185
83	48	208
84	191	107
85	6	189
86	139	220
87	98	127
88	179	129
89	37	152
90	226	179
91	152	206
92	34	73
93	136	219
94	145	118
95	16	154
96	126	181
97	110	196
98	72	87
99	195	249
100	163	16
101	182	48
102	30	80
103	66	240
104	58	11
105	107	29
106	40	39
107	84	105
108	250	187
109	133	214
110	61	97
111	186	163
112	43	254
113	121	25
114	10	43
115	21	125
116	155	135
117	159	146
118	94	173
119	202	236
120	78	47
121	212	113
122	172	147
123	229	174
124	243	233
125	115	32
126	167	96
127	87	160
128	175	251
129	88	22
130	168	58
131	80	78
132	244	210
133	234	109
134	214	183
135	116	194
136	79	93
137	174	231
138	233	50
139	213	86
140	231	250
141	230	21
142	173	63
143	232	65
144	44	195
145	215	94
146	117	226
147	122	61
148	235	71
149	22	201
150	11	64
151	245	192
152	89	91
153	203	237
154	95	44
155	176	116
156	156	156
157	169	191
158	81	218
159	160	117
160	127	159
161	12	186
162	246	213
163	111	100
164	23	172
165	196	239
166	73	42
167	236	126
168	216	130
169	67	157
170	31	188
171	45	223
172	164	122
173	118	142
174	123	137
175	183	128
176	204	155
177	187	182
178	62	193
179	90	88
180	251	232
181	96	35
182	177	101
183	134	175
184	59	234
185	82	37
186	161	111
187	108	177
188	170	200
189	85	67
190	41	197
191	157	84
192	151	252
193	178	31
194	135	33
195	144	99
196	97	165
197	190	244
198	220	7
199	252	9
200	188	27
201	149	45
202	207	119
203	205	153
204	55	176
205	63	203
206	91	70
207	209	202
208	83	69
209	57	207
210	132	74
211	60	222
212	65	121
213	162	139
214	109	134
215	71	145
216	20	168
217	42	227
218	158	62
219	93	66
220	86	198
221	242	81
222	211	243
223	171	14
224	68	18
225	17	54
226	146	90
227	217	238
228	35	41
229	32	123
230	46	141
231	137	140
232	180	143
233	124	138
234	184	133
235	38	148
236	119	167
237	153	242
238	227	13
239	165	23
240	103	57
241	74	75
242	237	221
243	222	124
244	197	132
245	49	151
246	254	162
247	24	253
248	13	28
249	99	36
250	140	108
251	128	180
252	192	199
253	247	82
254	112	246
255	7	1
